titre,acronym,rankc
Conference on Orders Algorithms and Applications,Ordal,C
The organizational semiotics Conference,ORGSEM,B
Conference on Operational Research Practice in Africa,ORPA,C
Usenix Symposium on Operating Systems Design and Implementation,OSDI,A*
Optimization: Techniques And Applications,OTA,C
Australian Computer Human Interaction Conference,OZCHI,B
Australian Women in IT Conference,OzWIT,A
PACES & ICIL,P&I,C
IEEE International Conference on Peer to Peer Computing,P2P,C
Workshop on Economics of Peer-to-Peer Systems,P2P Econ,C
Practical Application of Intelligent Agents and Multi-Agent Technology Conference,PAAM,C
Practical Applications of Agents and Multiagent Systems,PAAMS,A
International Conference on Practical Applications of Computational Biology & Bioinformatics,PACBB,A
Post-Graduate ADFA Conference on Computer Science,PACCS,L
Pacific Asian Conference on Expert Systems,PACES,B
IEEE Pacific Visualization Symposium (was APVIS),PacificVis,B
Pacific Asia Conference on Information Systems,PACIS,A
Pacific Asia Conference on Language Information and Computation,PACLIC,C
Conference of the Pacific Association for Computational Linguistics,PACLING,C
International Conference on Parallel Architecture and Compilation Techniques,PACT,B
Workshop on Parallel and Distributed Debugging ACM/ONR,PADD,C
Practical Aspects of Declarative Languages,PADL,C
Symposium on Programs as Data Objects,PADO,C
ACM SIGSIM Conference on Principles of Advanced Discrete Simulation (was Parallel and Distributed Simulation),PADS,B
International Conference on Pairing-based Cryptography,International Conference on Pairing-based Cryptography,C
Pacific-Asia Conference on Knowledge Discovery and Data Mining,PAKDD,B
Passive and Active Measurement Conference,PAM,B
Practical Aspects of PROLOG/Constraint Technology,PAP/PACT,C
Parallel Computing with FPGAs,ParaFPGA,C
Parallel Computing,PARCO,C
ACM SIGSOFT Workshop on Program Analysis for Software Tools and Engineering,PASTE,B
Practice and Theory of Automated Timetabling,PATAT,C
Pacific-Asia Workshop on Electronic Commerce,PAWEC,C
Workshop on Physics and Computation,PC,C
Pacific-Rim Conference on Multimedia,PCM,C
SPIE Conference on Performance and Control of Network Systems,PCNS,C
International Picture Coding Symposium,PCS,C
International Parallel Computing Workshop,PCW,C
Participatory Design Conference,PDC,B
International Conference on Parallel and Distributed Computing Applications and Technologies,PDCAT,C
IASTED International Conference on Parallel and Distributed Computing and Networks ,PDCN,C
IASTED International Conference on Parallel and Distributed Computing and Systems ,PDCS,C
Parallel and Distributed Information Systems,PDIS,C
Processing Declarative Knowledge International Workshop,PDK,C
Euromicro International Conference on Parallel Distributed and Network Based Processing,PDP,C
International Conference on Parallel and Distributed Processing Techniques and Applications,PDPTA,A
Joint AUPEC & EECON ,PEC&CON,C
IFIP/IEEE International Conference on Performance Evaluation and Modeling in Wired and Wireless Networks,PEMWN,C
ACM SIGPLAN Workshop on Partial Evaluation and Program Manipulation,PEPM,C
IEEE International Conference on Pervasive Computing and Communications,PERCOM,A*
INTERNATIONAL SYMPOSIUM ON PERVASIVE DISPLAYS,PerDis,B
IFIP International Symposium on Computing Performance Modelling Measurement and Evaluation,PERFORMANCE,A*
International Conference on Persuasive Technology,International Conference on Persuasive Technology,B
International Conference on Pervasive Computing (Joined with UbiComp from 2013),PERVASIVE,A*
International Conference on the Application and Theory of Petri Nets and Concurrency,Petri Nets,B
Privacy Enhancing Technologies Symposium (was International Workshop of Privacy Enhancing Technologies),PETS,A
Pacific Conference on Computer Graphics and Applications,PG,A*
Workshop on Probabilistic Graph Theory,PGT,C
International Symposium on Physical Design,PHYSDES,C
Workshop on New Technologies for Personalized Information Access,PIA,C
Portland International Center for Management of Engineering and Technology Conference,PICMET,A
IEEE International Symposium on Personal and Indoor Mobile Radio Conference,PIMRC,B
Pacific Rim Knowledge Acquisition Workshop,PKAW,C
International Conference on Practice and Theory in Public Key Cryptography,PKC,B
Annual PKI R&D Workshop,PKI,C
Programming Language Techniques for XML,PLAN-X,C
Practices of Linking Aspect Technology and Evolution,PLATE,C
ACM-SIGPLAN Conference on Programming Language Design and Implementation,PLDI,A*
Passive and Low Energy Architecture (PLEA) Annual International Conference,PLEA,A
Symposium on Programming Language Implementation and Logic Programming,PLILP,B
Pattern Languages of Programs,PLOP,C
Workshop on Programming Languages and Operating Systems,PLOS,C
IEEE Pacific-Rim Conference on Multimedia,PMIP,C
Project Management conference,PMOZ,B
ACM Symposium on Principles of Distributed Computing,PODC,A*
ACM SIGMOD-SIGACT-SIGART Conference on Principles of Database Systems,PODS,A*
IFIP WG8.1 Working Conference on the Practice of Enterprise Modeling,PoEM,
ACM-SIGACT Symposium on Principles of Programming Languages,POPL,A*
International Conference on Principles of Security and Trust,POST,
International Conference on Parallel Processing and Applied Mathematics,PPAM,A
Pan Pacific Conference on Information Systems,PPCIS,C
International Conference on Principles and Practice of Declarative Programming,PPDP,C
Annual PPIG Workshop,PPIG,B
Principles and Practice of Parallel Programming,PPoPP,B
Pacific Rim Real Estate Conference,PPRES,A
Parallel Problem Solving from Nature,PPSN,A
International Workshop on Post-Quantum Cryptography,PQCrypto,C
UK Ireland Planning Research Conference,PRC,B
Pacific Rim International Symposium on Dependable Computing,PRDC,C
Pacific Rim International Conference on Artificial Intelligence,PRICAI,B
International Conference on Principles of Practice in Multi-Agent Systems (prior to 2009 was Pacific Rim International Workshop on Multi-Agents),PRIMA,B
International Workshop on Pattern Recognition in Information Systems,PRIS,C
IFIP Working Conferences on Virtual Enterprises,PRO-VE,C
Postgraduate Researchers of the Built and Natural Environment Conference,PRoBE,C
Product Focused Software Process Improvement,PROFES,B
ProjMAN - International Conference on Project MANagement,ProjMAN,B
International Workshop Programming Multi-Agent Systems (merged into EMAS in 2013),PROMAS,B
International Workshop on Software Process Simulation and Modelling (now ICSP),PROSim,B
International Conference on Provable Security,ProvSec,C
Pacific Symposium on Biocomputing,PSB,A
Prague Stringology Conference,PSC,A
Privacy in Statistical Databases,PSD,C
Ershov Conference,PSI,A
Pacific-Rim Symposium on Image and Video Technology,PSIVT,C
International Conference on Probability Statistics and Operational Research,PSOR,C
Annual Conference on Privacy Security and Trust,PST,C
Performance Tools - International Conference on Model Techniques & Tools for CPE,PT,A
Program Visualization Workshop,PVW,C
Workshop on Quantum Information Processing,QIP,C
International Workshop on Quality of Information Systems,QOIS,C
International Conference on Quality of Multimedia Experience,QoMEX,B
Conference on the Quality of Software Architectures,QoSA,B
Software Quality Reliability and Security (was International Conference on Quality Software QSIC that merged with SERE 2015),QRS,C
International Conference on Heterogeneous Networking for Quality Reliability Security and Robustness (was International Conference on Quality of Service in Heterogeneous Wired/Wireless Networks),Qshine,C
Quantity Surveying International Convention,QSIC,C
International Conference on Qualitative Research in IT & IT in Qualitative Research,QualIT,B
International Conference on Experimental Implementation of Quantum Computation,QuantCom,C
International Conference on the Quality of Information and Communications Technology,QUATIC,C
International Workshop on the Sate of the Art in Cryptology and New Challenges Ahead,Quo Vadis Cryptology,C
The International Symposium on Research in Attacks Intrusions and Defenses (was International Symposium on Recent Advances in Intrusion Detection),RAID,A
International Conference on Recent Advances in Information Technology and Applications,RAITA,C
Reflection AOP and Meta-Data for Software Evolution,RAM-SE,C
International Conference on Relational and AlgebraicMethods in Computer Science (was International Conference on Relational Methods in Computer Science RelMiCS),RAMiCS,C
International Workshop on Randomization and Computation,RANDOM,A
International Conference on Recent Advances in Natural Language Processing,RANLP,C
Relationships and Associations in Object-Oriented Languages,RAOOL,C
ACM Workshop on Role Based Access Control (now SACMAT),RBAC,C
International Conference on Reversible Computation,RC,C
International Conference on Research Challenges in Information Science,RCIS,B
IEEE International Requirements Engineering Conference,RE,A
International Workshop on Realising Evidence-based Software Engineering,REBSE,C
International Conference on Computational Molecular Biology,RECOMB,B
ACM International Conference on Recommender Systems,RecSys,A
International Symposium 'Problems of Redundancy in Information and Control Systems',International Symposium 'Problems of Redundancy in Information and Control Systems',A
Research in Engineering Education Symposium,REES,A
International Workshop on Requirements Engineering: Foundation for Software Quality,REFSQ,B
International Workshop on Requirements Engineering Visualization,REV,B
International Conference on CAD/CAM Robotics and Factories of the Future,RFF,C
Conference on RFID Security,RFIDSec,C
International Workshop on Research Issues in Data Engineering,RIDE,B
RINA International Conference on Military Support Ships,RINA,C
IASTED International Conference on Robotics and Manufacturing,RM,C
Robot Soccer World Cup,RoboCup,C
WSEAS International Conference on Robotics Control and Manufacturing Technology,ROCOM,C
International Conference on Relations Orders and Graphs: Interaction with Computer Science,ROGICS,C
International Conference on Robotics Vision Signal Processing and Power Applications (was ROVPIA),RoVISP,A
Annual Convention for Survey Mapping and Remote Sensing,RS,C
IEEE International Symposium on Rapid System Prototyping (was IEEE Symposium on Rapid Prototyping),RSP,C
Robotics: Science and Systems,RSS,A*
International Conference on Rewriting Techniques and Applications (now merged with FSCD Formal Structures for Computation and Deduction),RTA,A
IEEE Real-Time and Embedded Technology and Applications Symposium,RTAS,A
International Conference on Embedded and Real Time Computing Systems and Applications,RTCSA,B
Workshop on Real-Time Databases,RTDB,C
International Conference on Real-Time and Network Systems,RTNS,A
Real Time Systems Symposium,RTSS,A*
RuleML: International Web Rule Symposium (pre 2007 was 'International Conference on Rules and Rule Markup Languages for the Semantic Web'),RuleML,B
International Joint Conference on Rules and Reasoning,RuleML+RR,B
International Conference on Runtime Verification (was workshop pre 2010),RV,B
South African Construction Health and Safety conference,SABERC,C
ACM Symposium on Applied Computing,SAC,A
Selected Areas in Cryptography,SAC,B
International Symposium on Applied Computational Intelligence and Informatics,SACI,C
ACM Symposium on Access Control Models and Technologies (previously ACM Workshop on Role-Based Access Control RBAC changed in 2000),SACMAT,C
International Conference on Computer Safety Reliability and Security,SAFECOMP,B
IFAC Symposium on Fault Detection Supervision and Safety of Technical Processes,SAFEProcess,C
Symposium on Stochastic Algorithms Foundations and Applications,SAGA,C
International Symposium on Algorithmic Game Theory,SAGT,B
Society of Architectural Historians Australia and New Zealand (SAHANZ) Annual Conference,SAHANZ,A
Conference of South African Institute of Computer Scientists and Information Technologists,SAICSIT,C
South African International Graph Theory Conference,SAIGTC,C
International Symposium on Applications and the Internet,SAINT,C
International Symposium on Applied Machine Intelligence and Informatics,SAMI,C
International Conference on Semantic and Digital Media Technologies,SAMT,C
IEEE International Conference on Software Analysis Evolution and Reengineering,SANER,A
Conference on Security in Network Architectures and Information Systems,SAR-SSI,C
Symposium on Abstraction Reformulation and Approximation,SARA,B
Static Analysis Symposium,SAS,B
State of the Art of Stream Ciphers,SASC,C
Simulation and Synthesis in Medical Imaging,SASHIMI,C
International Conference on Theory and Applications of Satisfiability Testing,SAT,A
World Sustainable Building Conference,SB,C
International Symposium on Computer Architecture and High Performance Computing,SBAC-PAD,C
Brazilian Symposium on Databases,SBBD,C
SEA - Conference on Sustainable Building South-East Asia (CIB Co-Sponsored),SBSEA,C
Brazilian Symposium on Information and Computer Systems Security,SBSEG,C
International Conference for High Performance Computing Networking Storage and Analysis (was Supercomputing Conference),SC,A
International Conference on Software Composition,SC,B
ACM SIGGRAPH/Eurographics Symposium on Computer Animation,SCA,B
Scandinavian Conference on Artificial Intelligence,SCAI,B
IEEE International Working Conference on Source Code Analysis and Manipulation,SCAM,C
Southern Conference on Computing,SCC,C
Spring Conference on Computer Graphics,SCCG,C
Soft Computing in Computer Graphics Imaging and Vision,SCCGIV,C
International Conference on Sustainable Construction Materials and Technologies,SCMT,B
Conference on Security and Cryptography for Networks,SCN,A
International Workshop on Software and Compilers for Embedded Systems,SCOPES,C
Summer Computer Simulation Conference,SCSC,C
Australian Workshop on Safety Critical Systems and Software,SCSS,A
IEEE Workshop on Speech Coding,SCW,C
International Symposium on Spatial Data Handling,SDH,C
SIAM International Conference on Data Mining,SDM,A
Unix Symposium on Operating Systems Design and Implementation ,SDSDI,A
IASTED International Conference on Software Engineering ,SE,C
International IEEE Workshop on Software Evolvability,SE,C
International Workshop on Software Engineering for High Performance Computing Applications,SE-HPC,C
IASTED International Conference on Software Engineering and Applications ,SEA,C
International Symposium on Experimental Algorithms,SEA,B
Euromicro Conference on Software Engineering and Advanced Applications,SEAA,B
Asia-Pacific Conference on Simulated Evolution and Learning,SEAL,B
International Symposium on Software Engineering for Adaptive and Self-Managing Systems,SEAMS,A
Search: Workshop on Search Sorting and Coding,Search: Workshop on Search Sorting and Coding,C
International Conference on Sustainability in Energy and Buildings,SEB,A
Italian Symposium on Advanced Database Systems,SEBD,C
ACM/IEEE Symposium on Edge Computing,SEC,
IEEE International Conference on Sensing Communication and Networking,SECON,B
IEEE International Workshop on the Value of Security through Collaboration,SECOVAL,C
International Conference on Information Security and Cryptography,SECRYPT,C
International Conference on Security and Privacy for Communication Networks,SecureComm,C
The Conference on visualization of information,SEE,C
International Conference on Software Engineering: Education and Practice ,SEEP,B
SEFI - Annual Conference of European Society for Engineering Education,SEFI,B
International Conference on Software Engineering and Formal Methods,SEFM,B
International Conference on Sustainable Energy Information Technology,SEIT,
International Conference on Software Engineering and Knowledge Engineering,SEKE,C
Semantics - International Conference on Semantic Systems,Semantics - International Conference on Semantic Systems,A
Sensor Networks,Sensor Networks,C
ACM Conference on Embedded Networked Sensor Systems,SENSYS,A*
ACIS Conference on Software Engineering Research Management and Applications,SERA,C
IEEE Congress on Services,SERVICES,B
International Conference on Sequences and their Applications,SETA,C
Systems Engineering / Test and Evaluation Conference,SETE,C
International Conference: Sciences of Electronics Technologies of information and Telecommunication,SETIT,
Hellenic Conference on Artificial Intelligence,SETN,C
International Conference on Software Engineering Theory and Practice,SETP,C
International Symposium on Software Engineering: Theories Tools and Applications,SETTA,A
Visualization in Software Engineering,SEViz,C
IEEE Software Engineering Workshop,SEW,C
Scottish Functional Programming Workshop,SFP,C
SGAI International Conference on Artificial Intelligence,SGAI,A
Symposium on Geometry Processing,SGP,B
Special-purpose Hardware for Attacking Cryptographic Systems,SHARCS,C
Brazilian Symposium on Computer Graphics and Image Processing,SIBGRAPI,C
International Construction Management and Economics Conference,SIBRAGEC,B
Workshop on Scientific Knowledge Information and Computing,SIDEKIC,C
IEEE Systems and Information Engineering Design Symposium,SIEDS,C
ACM SIGCHI_NZ Conference on Human-Computer Interaction,SIGCHI-NZ,A
International NZ Conference on Computer-Human Interaction ,SIGCHI-NZ,A
ACM Conference on Applications Technologies Architectures and Protocols for Computer Communication,SIGCOMM,A*
ACM Special Interest Group on Computer Science Education Conference,SIGCSE,A
Annual Meeting of the Special Interest Group on Discourse and Dialog,SIGdial,B
ACM SIG International Conference on Computer Graphics and Interactive Techniques,SIGGRAPH,A*
SIGGRAPH Asia,SiggraphA,A*
ACM International Conference on Research and Development in Information Retrieval,SIGIR,A*
ACM SIGIR Workshop on XML and Information Retrieval,SIGIR/XML,C
ACM Information Technology Education,SIGITE,A
Lexical Semantics and Knowledge Representation,SIGLEX,C
Measurement and Modeling of Computer Systems,SIGMETRICS,A*
ACM Special Interest Group on Management of Data Conference,SIGMOD,A*
Conference on Office Information Systems,SIGOA,C
ACM SIGOPS European Workshops,SIGOPS-EW,C
ACM International Conference on Advances in Geographic Information Systems,SIGSPATIAL,A
ACM SIGUCCS Conference on User Services,SIGUCCS,A
Simulation Technology and Training Conference,SimTecT,C
International Conference on Simulation and Modeling Methodologies Technologies and Applications,SIMULTECH,C
International Conference on Security of Information and Networks,SIN,C
IASTED International Conference on Signal and Image Processing ,SIP,C
Spatial Information Research Centre Colloquium,SIRC,C
International Colloquium on Structural Information and Communication Complexity,SIROCCO,B
International Conference on Similarity Search and Applications,SISAP,B
Spatial Information Science and Technology Conference,SIST,C
International IEEE Security in Storage Workshop,SISW,C
International Symposium on Intelligent Systems and Informatics,SISY,C
Society for Information Technology and Teacher Education Conference ,SITE,C
International Conference on Semantics Knowledge and Grid,SKG,A
International Conference on Software Language Engineering,SLE,B
Stochastic Local Search Algorithms,SLS,C
IEEE Conference on Systems Man and Cybernetics,SMC,B
IEEE International Symposium on Software Metrics ,SMS,A
International Conference on Software Engineering Artificial Intelligence Networking and Parallel/Distributed Computing,SNPD,C
State of Australian Cities (SOAC) Conference,SOAC,A
IEEE International Conference on Service-Oriented Computing and Applications,SOCA,C
Workshop on Service Oriented Computing,SOCASE,C
Service Oriented Computing: Consequences for Engineering Requirements,SOCCER,C
International Symposium on Computational Geometry,SoCG,A
Symposium on Computational Geometry for Mechanics and Applications,SOCGMA,C
The Symposium of Combinatorial Search,SoCS,B
ACM/SIAM Symposium on Discrete Algorithms,SODA,A*
International Workshop on Soft Computing Applications,SOFA,C
Current Trends in Theory and Practice of Computer Science,SOFSEM,B
Conference on Software in Telecommunications and Computer Networks,SOFTCOM,A
International Conference on Intelligent Software Methodologies Tools and Techniques (was International Conference on Software Methods and Tools),SoMeT,C
ACM SIGOPS Symposium on Operating Systems Principles,SOSP,A*
Symposium On Usable Privacy and Security,SOUPS,B
IEEE Symposium on Security and Privacy,SP,A*
Symposium on Parallelism in Algorithms and Architectures,SPAA,B
ACM Symposium on Principles of Database Systems,SPDS,C
Workshop on Security and Privacy in e-Commerce,SPEC,C
Software Performance Enhancement for Encryption and Decryption,SPEED,C
Software Process Improvement and Capability Determination ,SPICE,C
Singapore International Conference on Intelligent Systems,SPICIS,B
SPIE Smart Structures and Materials and Non-destructive Evaluation and Health Monitoring,SPIE,A
International Symposium on String Processing and Information Retrieval,SPIRE,C
Software Product Lines Conference,SPLC,B
ACM Symposium on Solid and Physical Modelling,SPM,C
Software Quality Conference,SQC,C
International Conference on Software Quality Management,SQM,C
Symposium on Reliable Distributed Systems,SRDS,B
Symposium on Requirements Engineering for Information Security,SREIS,C
Software Education Conference,SRIG-ET,C
Storage and Retrieval for Media Databases (was Storage and Retrieval for Image and Video Databases),SRMD,C
International Symposium on Search Based Software Engineering,SSBSE,B
International Conference on Scientific and Statistical Data Base Management,SSDBM,B
International Conference on Advances in Infrastructure for Electronic Business Science and Education on the Internet,SSGRR,C
IEEE International Symposium on Security in Networks and Distributed Systems,SSNDS,C
Structural and Syntactical Pattern Recognition,SSPR,B
ACM Symposium on Software Reusability ,SSR,A
Symposium on Stabilization Safety and Security of Distributed Systems,SSS,C
IFAC Conference on System Structure and Control,SSSC,C
Australasian Speech Science and Technology,SST,C
International Symposium on Spatial and Temporal Databases,SSTD,B
International Symposium on Theoretical Aspects of Computer Science,STACS,A
ACM Workshop on Scalable Trusted Computing,STC,B
Software Technology and Engineering Practice Conference,STEP,B
International Conference on Systems Thinking in Management,STM,C
ACM Symposium on Theory of Computing,STOC,A*
SIGIR workshop: Stylistic Analysis of Text For Information Access,SIGIR workshop: Stylistic Analysis of Text For Information Access,C
Latin American Conference on Pattern Languages of Programming,SugarLoafPLoP,C
Scandinavian Workshop on Algorithm Theory,SWAT,B
International Conference on Software Development,SWDC,B
IEEE International Workshop on Databases for Next-Generation Researchers,SWOD,C
ACM Workshop on Secure Web Services,SWS,C
The International Conference on Semantic Web and Web Services,SWWS,C
International Symposium on Symbolic and Numeric Algorithms for Scientific Computing,SYNASC,C
IEEE Systems Conference,SysCon,C
The ACM International System and Storage Conference,SYSTOR,A
International Conference on Theorem Proving with Analytic Tableaux and Related Methods,TABLEAUX,B
Tools and Algorithms for Construction and Analysis of Systems,TACAS,A
International Conference on Theory and Applications of Computational Science,TACS,C
TAI: Algorithmic Information Theory: Kolmogorov Complexity,TAI,C
Theory and Applications of Knowledge MAnagement,TAKMA,C
Traitement Automatique des Langues Naturelles,TALN,C
Conference on Theory and Applications of Models of Computation,TAMC,C
International Conference on Tests and Proofs,TAP,C
Richard Tapia Celebration of Diversity in Computing Conference,Tapia,A
International Joint Conference CAAP/FASE on Theory and Practice of Software Development,TAPSOFT,C
Theoretical Aspects of Rationality and Knowledge,TARK,A
International Symposium on Theoretical Aspects of Software Engineering,TASE,A
Theory of Cryptography Conference,TCC,A
International Workshop on Temporal Databases,TDB,C
International Conference on Technology Education,TE,C
International Conference on Technical Debt,TechDebt, 
Tangible Embedded and Embodied Interaction,TEI,B
IEEE Region 10 Conference,Tencon,C
Topological and Geometric Graph Theory,TGGT,C
Technology for Interactive Digital Storytelling (merged into ICIDS in 2008),TIDSE,C
International Symposium on Temporal Representation and Reasoning,TIME,C
Trustworthy Interfaces for Passwords and Personal Information workshop,TIPPI,C
ACM SIGPLAN Workshop on Types in Language Design and Implementation (was TIC),TLDI,C
International Conference on Theoretical and Mathematical Foundations of Computer Science,TMFCS,C
International Conference on Theoretical and Methodological Issues in machine Translation,TMI,B
Technology of Object-Oriented Languages and Systems,TOOLS,B
International Conference on Theory and Practice of Digital Libraries (was ECDL until 2010),TPDL,B
Techniques and Problems in Graph Theory,TPGT,C
International Visualization in Transportation Symposium,TRB,A
Transportation Research Board (USA) Annual Meeting,TRB,A
Text Retrieval Conference,TREC,A
Annual International Conference on Ada,TRI-Ada,C
Testbeds and Research Infrastructures for the Development of Networks and Communities,TridentCom,A
International Conference on Trust Privacy and Security in Digital Business,TrustBus,B
International Conference on Trust Security and Privacy in Computing and Communications,TrustCom,B
Conference in Uncertainty in Artificial Intelligence,UAI,A
International Conference on Mobile Ubiquitous Computing Systems Services and Technologies,UBICOMM,C
ACM International Joint Conference on Pervasive and Ubiquitous Computing (PERVASIVE and UbiComp combined from 2013),UbiComp,A*
International Conference on Unconventional Computation and Natural Computation (was International Conference on Unconventional Computation),UC,C
Utility and Cloud Computing,UCC,
Urban History Planning History (Australasia),UHPH,B
International Conference on Ubiquitous Intelligence and Computing,UIC,C
ACM Symposium on User Interface Software and Technology,UIST,A*
UK e-Science All Hands Meeting,UK e-Science,C
UK Academy of Information Systems Conference,UKAIS,C
United Kingdom Systems Society,UKSS,B
International Conference on User Modelling Adaptation and Personalization (was AH and UM),UMAP,B
Unconventional Models of Computation,UMC,B
International conference on unsaturated soils,Unsat,A
Asian-Pacific conferences on unsaturated soils,Unsat-Asian,A
Usable Security and Privacy,USEC,A
Usenix Annual Technical Conference,USENIX,A
USENIX Workshop on Electronic Commerce,USENIX EC,C
Usenix Security Symposium,USENIX-Security,A*
Unix Symposium on Internet Technologies,USITS,A
University of Western Australia Computer Science Research Conference,UWACS,A
USENIX Windows NT Symposium,UWNTS,C
IEEE International Conference on Visual Communications and Image Processing (was SPIE ... pre 2011),VCIP,C
Conference on Visualization and Data Analysis,VDA,A
IFIP Working Conference on Visual Database Systems,VDbS,B
SPIE Conference on Visual Data Exploration and Analysis,VDEA,C
The International Conference on Verification and Evaluation of Computer and Communication Systems ,VECoS,C
International Meeting on High Performance Computing for Computational Science (previously International Meeting Vector and Parallel Processing changed in 2002),VECPAR,B
International Conference on Virtual Execution Environments,VEE,B
International Conference on Vehicle Technology and Intelligent Transport Systems,VEHITS,C
Vision Interface,VI,C
IASTED International Conference on Visualization Imaging and Image Processing,VIIP,C
Nordic Conference on Pattern Languages of Programs,VikingPLoP,C
Visual Information Communication and Interaction,VINCI,C
Pan-Sydney Area Workshop on Visual Information Processing,VIP,C
International Conference on Vision Theory and Applications (Joined with GRAPP from 2008),VISAPP,C
Joint Conference on Computer Vision Imaging and Computer Graphics Theory and Applications (GRAPP and VISAPP combined from 2008),VISIGRAPP,A
Visualization in Software Product Lines Workshop,VisPLE,C
IEEE International Working Conference on Software Visualisation,VISSOFT,B
International Conference on Visual Information Systems,VISUAL,C
ENVI and IDL Data Analysis and Visualization Symposium,VISualize,C
International Workshop on Visualization for Cyber Security,VizSec,C
IEEE Symposium on Visual Languages and Human-Centric Computing (was VL),VL/HCC,B
International Conference on Very Large Databases,VLDB,A*
Visual Languages and Formal Methods,VLFM,C
Symposia on VLSI Technology and Circuits,VLSI,A
IEEE Symposium on VLSI Circuits,VLSIC,A
International Conference on VLSI Design,VLSID,A
Verification Model Checking and Abstract Interpretation,VMCAI,B
IEEE Conference on Virtual Reality and 3D User Interfaces,VR,A*
United Kingdom Virtual Reality Special Interest Group Conference UK-VRSIG,VR-SIG,C
ACM Virtual Reality Software and Technology,VRST,A
International Conference on Virtual Systems and MultiMedia,VSMM,B
Semantic Web Visualisation,VSW,C
IEEE Vehicular Technology Conference,VTC,B
International Workshop on Web and Wireless Geographical Information Systems,W2GIS,C
Workshop on Algorithmic Aspects of Advanced Programming Languages,WAAAPL,C
Japan-Korea Joint Workshop on Algorithms and Computations,WAAC,C
Workshop on Algorithms in Bioinformatics,WABI,C
IEEE Workshop on Applications of Computer Vision,WACV,A
Algorithms and Data Structures Symposium (was Workshop on Algorithms and Data Structures),WADS,B
Workshop on Algorithm Engineering,WAE,B
International Workshop on the Algorithmic Foundations of Robotics,WAFR,C
Workshop on the Arithmetic of Finite Fields,WAIFI,C
International Conference on Web-Age Information Management,WAIM,C
International Workshop on Artificial Intelligence and Statistics,WAIS,B
International Conference and Workshops on Algorithms and Computation,WALCOM,B
Workshop on Approximation and Online Algorithms,WAOA,B
IEEE Workshop on Advances in Techniques for Analysis of Remotely Sensed Data,WARDS,C
Australian Information Warfare and Security Conference,WarSec,A
Workshop on Application Specific Processors,WASP,C
Water Down Under 2008 (incorporating the 31st Hydrology and Water Resources Symposium and the 4th International Conference on Water Resources and Environment Research),Water Down Under 2008,A
Workshop on Algorithms And Models For The Web Graph,WAW,C
Western Australian Workshop on Information Systems Research,WAWISR,A
Workshop on Computer Architecture Education,WCAE,A
Accelerating excellence in the built environment World Conference,WCAEBE,C
Workshop on Cryptography for Ad hoc Networks,WCAN,C
International Workshop on Coding and Cryptography,WCC,B
World Computer Congress,WCC,C
Western Canadian Conference on Computing Education,WCCCE,C
World Conference on Computers in Education,WCCE,C
IEEE World Congress on Computational Intelligence,WCCI,A
World Congress on Computational Mechanics,WCCM,A
World Congress on Engineering Asset Management,WCEAM-IMS,C
World Congress on Expert Systems,WCES,B
Workshop on Computational Graph Theory and Combinatorics,WCGTC,C
IEEE Wireless Communications and Networking Conference,WCNC,B
World Congress on Neural Networks,WCNN,B
Workshop on Computational Optimization,WCO,C
Workshop on Component-Oriented Programming,WCOP,C
World of Construction Project Management Conference,WCPM,B
IEEE Working Conference on Reverse Engineering,WCRE,B
IEEE Conference on Wireless Communication and Sensor Networks,WCSN,C
World Congress on Systems Simulation,WCSS,B
World Conference on Transport Research,WCTR,A
International Workshop on Web Content Caching and Distribution,WCW,B
Wireless Days,WD,C
Workshop on Distributed Algorithms (DISC since 1998),WDAG,B
Workshop on Distributed Data and Structures,WDAS,C
Workshop on Duplicating Deconstructing and Debunking,WDDD,C
Annual Water Distribution Systems Analysis Conference WDSA 2008,WDSA,A
Western Decision Sciences Institute Conference,WDSI,C
International Workshop on Efficient Algorithms,WEA,B
International Workshop on the Web and Databases,WebDB,A
International Conference on Web Information Systems and Technologies,WEBIST,C
Workshop on Web Usage Analysis,WebKDD,C
World Conference on the WWW and Internet,WebNet,C
International Conference on Web-based Modelling and Simulation,WebSim,C
Web Visualization,WebViz,C
International Workshop on Entertainment Computing,WEC,C
International Workshops on Enabling Technologies: Infrastructures for Collaborative Enterprises,WETICE,C
Western European Workshop on Research in Cryptology,WeWoRC,C
International Workshop on Functional and Constraint Logic Programming,WFLP,C
International Workshop on Graph-Theoretic Concepts in Computer Science,WG,B
IEEE/WIC/ACM International Conference on Web Intelligence (previously joint with Intelligent Agent Technology WI-IAT),WI,B
Australasian Women in Computing Workshop,WIC,A
International Conference on Wireless Communications Networking and Mobile Computing,WiCOM,C
International Wireless Internet Conference,WiCon,C
International Computer Symposium Workshop,WICS,C
ACM Workshop on Web Information and Data Management,WIDM,B
IEEE Workshop on Wireless Mesh Networks,WiMesh,C
IEEE International Conference on Wireless and Mobile Computing Networking and Communications,WiMob,B
International Workshop on Wireless and Mobile Networks,WiMoNe,C
International Conference on Wireless Networks and Mobile Communications,WINCOM,C
Network for Comfort and Energy Use in Buildings Windsor Conference,Windsor,A
International Symposium on Modelling and Optimization in Mobile Ad Hoc and Wireless Networks,WiOpt,B
International Workshop on Information Security Applications,WISA,A
International Conference on Web Information Systems Engineering,WISE,B
International Workshop on Web Information Systems Modelling,WISM,C
Benelux Workshop on Information and System Security,WISSec,C
